category,question,answer,difficulty,grade_level,source,keyword_tag
Physics,What is the Doppler effect?,The change in frequency of a wave as the source and observer move relative to each other.,Intermediate,Class 11,NCERT,Doppler
Physics,What is specific heat capacity?,The amount of heat required to raise the temperature of 1 kg of a substance by 1 degree Celsius.,Intermediate,Class 11,NCERT,Specific heat
Physics,What is latent heat?,The heat absorbed or released by a substance during a phase change without change in temperature.,Intermediate,Class 11,NCERT,Latent heat
Physics,What is simple harmonic motion?,A type of periodic motion where the restoring force is proportional to displacement.,Advanced,Class 11,NCERT,SHM
Physics,What is resonance?,Resonance occurs when a system vibrates at its natural frequency due to an external periodic force.,Advanced,Class 11,NCERT,Resonance
Physics,What is Boyle's law?,At constant temperature the pressure of a gas is inversely proportional to its volume.,Intermediate,Class 11,NCERT,Boyle's law
Physics,What is Charles's law?,At constant pressure the volume of a gas is directly proportional to its absolute temperature.,Intermediate,Class 11,NCERT,Charles law
Physics,What is the photoelectric effect?,The emission of electrons from a metal surface when light of sufficient frequency falls on it.,Advanced,Class 12,NCERT,Photoelectric
Physics,Who proposed the photoelectric effect theory?,Albert Einstein explained the photoelectric effect using the concept of photons in 1905.,Advanced,Class 12,NCERT,Einstein photon
Physics,What is a photon?,A photon is a particle of light carrying energy E = hf where h is Planck's constant and f is frequency.,Advanced,Class 12,NCERT,Photon
Physics,What is Planck's constant?,Planck's constant h = 6.626 x 10^-34 Joule-seconds.,Advanced,Class 12,NCERT,Planck constant
Physics,What is the work function?,The minimum energy required to remove an electron from the surface of a metal.,Advanced,Class 12,NCERT,Work function
Physics,What is de Broglie wavelength?,Every moving particle has an associated wavelength given by lambda = h/mv.,Advanced,Class 12,NCERT,de Broglie
Physics,What is Heisenberg uncertainty principle?,It is impossible to simultaneously know both the exact position and momentum of a particle.,Advanced,Class 12,NCERT,Uncertainty principle
Physics,What is superconductivity?,The phenomenon where certain materials conduct electricity with zero resistance at very low temperatures.,Advanced,Class 12,General,Superconductivity
Physics,What is the unit of magnetic field strength?,The unit of magnetic field strength is Tesla (T).,Intermediate,Class 12,NCERT,Magnetic field unit
Physics,What is Fleming's left hand rule?,It gives the direction of force on a current-carrying conductor in a magnetic field.,Intermediate,Class 10,NCERT,Fleming left hand
Physics,What is Fleming's right hand rule?,It gives the direction of induced current in a conductor moving in a magnetic field.,Intermediate,Class 10,NCERT,Fleming right hand
Physics,What is Lenz's law?,The induced current always flows in a direction that opposes the change causing it.,Intermediate,Class 12,NCERT,Lenz law
Physics,What is the SI unit of charge?,The SI unit of electric charge is Coulomb (C).,Basic,Class 10,NCERT,Charge unit
Physics,What is Coulomb's law?,The force between two charges is proportional to the product of charges and inversely proportional to the square of distance.,Intermediate,Class 12,NCERT,Coulomb law
Physics,What is an electric field?,Electric field is the region around a charged particle where another charge experiences a force.,Intermediate,Class 12,NCERT,Electric field
Physics,What is capacitance?,Capacitance is the ability of a system to store electric charge. Unit is Farad.,Intermediate,Class 12,NCERT,Capacitance
Physics,What is a semiconductor?,A semiconductor is a material whose conductivity lies between a conductor and an insulator.,Intermediate,Class 12,NCERT,Semiconductor
Physics,What is a p-n junction?,A p-n junction is formed when p-type and n-type semiconductors are joined together.,Advanced,Class 12,NCERT,PN junction
Physics,What is thermodynamics?,Thermodynamics is the branch of physics dealing with heat energy and its conversion to other forms.,Intermediate,Class 11,NCERT,Thermodynamics
Physics,What is the first law of thermodynamics?,Energy cannot be created or destroyed; the total energy of an isolated system is constant.,Intermediate,Class 11,NCERT,First law thermo
Physics,What is the second law of thermodynamics?,Heat flows naturally from a hot body to a cold body and not the other way around.,Intermediate,Class 11,NCERT,Second law thermo
Physics,What is entropy?,Entropy is a measure of the disorder or randomness of a system.,Advanced,Class 11,NCERT,Entropy
Physics,What is absolute zero?,Absolute zero is the lowest possible temperature: 0 Kelvin or -273.15 degrees Celsius.,Intermediate,Class 11,NCERT,Absolute zero
Physics,What is the refractive index?,Refractive index is the ratio of the speed of light in vacuum to the speed of light in a medium.,Intermediate,Class 10,NCERT,Refractive index
Physics,What is dispersion of light?,Dispersion is the splitting of white light into its component colours when it passes through a prism.,Basic,Class 10,NCERT,Light dispersion
Physics,What is polarization of light?,Polarization is the restriction of vibration of light waves to a single plane.,Advanced,Class 12,NCERT,Polarization
Physics,What is diffraction?,Diffraction is the bending of waves around obstacles or through openings.,Advanced,Class 12,NCERT,Diffraction
Physics,What is interference?,Interference is the phenomenon where two waves superpose to form a resultant wave.,Advanced,Class 12,NCERT,Interference
Physics,What is Young's double slit experiment?,An experiment demonstrating the wave nature of light through interference patterns.,Advanced,Class 12,NCERT,Young double slit
Physics,What is the escape velocity of Earth?,The escape velocity of Earth is approximately 11.2 km/s.,Intermediate,Class 11,NCERT,Escape velocity
Physics,What is orbital velocity?,Orbital velocity is the minimum velocity needed to keep a satellite in orbit around Earth.,Intermediate,Class 11,NCERT,Orbital velocity
Physics,What is Kepler's first law?,Planets move in elliptical orbits with the Sun at one focus.,Intermediate,Class 11,NCERT,Kepler first
Physics,What is Kepler's second law?,A planet sweeps equal areas in equal time intervals as it orbits the Sun.,Intermediate,Class 11,NCERT,Kepler second
Physics,What is Kepler's third law?,The square of a planet's orbital period is proportional to the cube of its orbital radius.,Advanced,Class 11,NCERT,Kepler third
Physics,What is moment of inertia?,Moment of inertia is the rotational equivalent of mass; it resists angular acceleration.,Advanced,Class 11,NCERT,Moment of inertia
Physics,What is angular momentum?,Angular momentum is the product of moment of inertia and angular velocity.,Advanced,Class 11,NCERT,Angular momentum
Physics,What is a wave?,A wave is a disturbance that transfers energy through a medium without transferring matter.,Basic,Class 9,NCERT,Wave
Physics,What is wavelength?,Wavelength is the distance between two consecutive crests or troughs of a wave.,Basic,Class 9,NCERT,Wavelength
Physics,What is amplitude?,Amplitude is the maximum displacement of a wave from its equilibrium position.,Basic,Class 9,NCERT,Amplitude
Physics,What is the relationship between speed frequency and wavelength?,Speed equals frequency multiplied by wavelength (v = f x lambda).,Basic,Class 9,NCERT,Wave equation
Physics,What is ultrasound?,Ultrasound refers to sound waves with frequency above 20000 Hz inaudible to humans.,Intermediate,Class 9,NCERT,Ultrasound
Physics,What is infrasound?,Infrasound refers to sound waves with frequency below 20 Hz inaudible to humans.,Intermediate,Class 9,NCERT,Infrasound
Physics,What is the audible range of human hearing?,Humans can hear sounds in the frequency range of 20 Hz to 20000 Hz.,Basic,Class 9,NCERT,Audible range
Physics,What is a magnetic field?,A magnetic field is the region around a magnet where magnetic forces are experienced.,Basic,Class 10,NCERT,Magnetic field
Physics,What is electromagnetic induction?,The production of an electric current in a conductor due to a changing magnetic field.,Intermediate,Class 10,NCERT,EM induction
Physics,Who discovered electromagnetic induction?,Michael Faraday discovered electromagnetic induction in 1831.,Intermediate,Class 10,NCERT,Faraday
Physics,What is a generator?,A generator converts mechanical energy into electrical energy using electromagnetic induction.,Basic,Class 10,NCERT,Generator
Physics,What is a motor?,An electric motor converts electrical energy into mechanical energy.,Basic,Class 10,NCERT,Motor
Physics,What is the greenhouse effect?,The trapping of heat in Earth's atmosphere by greenhouse gases like CO2 and methane.,Basic,Class 10,NCERT,Greenhouse effect
Physics,What is global warming?,The gradual increase in Earth's average temperature due to increased greenhouse gas emissions.,Basic,Class 10,NCERT,Global warming
Physics,What is ozone?,Ozone is a molecule made of three oxygen atoms (O3) that forms a protective layer in the stratosphere.,Basic,Class 10,NCERT,Ozone
Physics,What causes depletion of the ozone layer?,Chlorofluorocarbons (CFCs) released from refrigerants and sprays destroy ozone molecules.,Intermediate,Class 10,NCERT,Ozone depletion
Physics,What is renewable energy?,Energy from naturally replenishing sources like solar wind water and geothermal heat.,Basic,Class 10,NCERT,Renewable energy
Physics,What is solar energy?,Energy obtained from the Sun's radiation; converted using solar panels (photovoltaic cells).,Basic,Class 10,NCERT,Solar energy
Chemistry,What is the atomic number of hydrogen?,The atomic number of hydrogen is 1.,Basic,Class 9,NCERT,Hydrogen
Chemistry,What is the atomic number of carbon?,The atomic number of carbon is 6.,Basic,Class 9,NCERT,Carbon
Chemistry,What is the atomic number of oxygen?,The atomic number of oxygen is 8.,Basic,Class 9,NCERT,Oxygen
Chemistry,What is the atomic number of nitrogen?,The atomic number of nitrogen is 7.,Basic,Class 9,NCERT,Nitrogen
Chemistry,What is the atomic number of iron?,The atomic number of iron is 26.,Basic,Class 10,NCERT,Iron
Chemistry,What is the atomic number of gold?,The atomic number of gold is 79.,Intermediate,Class 10,NCERT,Gold
Chemistry,What is the atomic number of sodium?,The atomic number of sodium is 11.,Basic,Class 10,NCERT,Sodium
Chemistry,What is the chemical formula of water?,The chemical formula of water is H2O.,Basic,Class 7,NCERT,Water formula
Chemistry,What is the chemical formula of carbon dioxide?,The chemical formula of carbon dioxide is CO2.,Basic,Class 8,NCERT,CO2
Chemistry,What is the chemical formula of table salt?,The chemical formula of table salt (sodium chloride) is NaCl.,Basic,Class 9,NCERT,NaCl
Chemistry,What is the chemical formula of ammonia?,The chemical formula of ammonia is NH3.,Basic,Class 10,NCERT,Ammonia
Chemistry,What is the chemical formula of sulphuric acid?,The chemical formula of sulphuric acid is H2SO4.,Basic,Class 10,NCERT,Sulphuric acid
Chemistry,What is the chemical formula of hydrochloric acid?,The chemical formula of hydrochloric acid is HCl.,Basic,Class 10,NCERT,HCl
Chemistry,What is the chemical formula of nitric acid?,The chemical formula of nitric acid is HNO3.,Basic,Class 10,NCERT,HNO3
Chemistry,What is pH?,pH is a measure of the hydrogen ion concentration in a solution. pH 7 is neutral below 7 is acidic above 7 is basic.,Basic,Class 10,NCERT,pH scale
Chemistry,What is an acid?,An acid is a substance that donates hydrogen ions (H+) in solution and has pH less than 7.,Basic,Class 10,NCERT,Acid
Chemistry,What is a base?,A base is a substance that accepts hydrogen ions or donates hydroxide ions (OH-) with pH greater than 7.,Basic,Class 10,NCERT,Base
Chemistry,What is a neutral solution?,A neutral solution has a pH of exactly 7 like pure water.,Basic,Class 10,NCERT,Neutral
Chemistry,What is an indicator?,An indicator is a substance that changes colour to show whether a solution is acidic basic or neutral.,Basic,Class 10,NCERT,Indicator
Chemistry,What is litmus?,Litmus is a natural indicator that turns red in acid and blue in base.,Basic,Class 10,NCERT,Litmus
Chemistry,What is the periodic table?,The periodic table is an arrangement of elements in order of increasing atomic number showing recurring properties.,Basic,Class 10,NCERT,Periodic table
Chemistry,Who created the modern periodic table?,Dmitri Mendeleev created the periodic table in 1869 arranging elements by atomic mass.,Basic,Class 10,NCERT,Mendeleev
Chemistry,What are periods in the periodic table?,Periods are horizontal rows in the periodic table. There are 7 periods.,Basic,Class 10,NCERT,Periods
Chemistry,What are groups in the periodic table?,Groups are vertical columns in the periodic table. There are 18 groups.,Basic,Class 10,NCERT,Groups
Chemistry,What are alkali metals?,Alkali metals are Group 1 elements (Li Na K Rb Cs Fr) that are highly reactive soft metals.,Intermediate,Class 10,NCERT,Alkali metals
Chemistry,What are halogens?,Halogens are Group 17 elements (F Cl Br I At) that are highly reactive nonmetals.,Intermediate,Class 10,NCERT,Halogens
Chemistry,What are noble gases?,Noble gases are Group 18 elements (He Ne Ar Kr Xe Rn) that are chemically inert.,Basic,Class 10,NCERT,Noble gases
Chemistry,What is valency?,Valency is the combining capacity of an element determined by the number of electrons it gains loses or shares.,Basic,Class 9,NCERT,Valency
Chemistry,What is an ionic bond?,An ionic bond is formed by the transfer of electrons from one atom to another creating oppositely charged ions.,Intermediate,Class 10,NCERT,Ionic bond
Chemistry,What is a covalent bond?,A covalent bond is formed by the sharing of electrons between two atoms.,Intermediate,Class 10,NCERT,Covalent bond
Chemistry,What is oxidation?,Oxidation is the loss of electrons or the gain of oxygen by a substance.,Intermediate,Class 10,NCERT,Oxidation
Chemistry,What is reduction?,Reduction is the gain of electrons or the loss of oxygen by a substance.,Intermediate,Class 10,NCERT,Reduction
Chemistry,What is a redox reaction?,A redox reaction involves both oxidation and reduction occurring simultaneously.,Intermediate,Class 10,NCERT,Redox
Chemistry,What is corrosion?,Corrosion is the gradual destruction of metals by chemical reaction with their environment like rusting of iron.,Basic,Class 10,NCERT,Corrosion
Chemistry,What is the chemical formula for rust?,Rust is hydrated iron oxide with formula Fe2O3.xH2O.,Intermediate,Class 10,NCERT,Rust formula
Chemistry,What is rancidity?,Rancidity is the deterioration of fats and oils due to oxidation causing bad smell and taste.,Basic,Class 10,NCERT,Rancidity
Chemistry,What is a catalyst?,A catalyst is a substance that increases the rate of a chemical reaction without being consumed.,Intermediate,Class 10,NCERT,Catalyst
Chemistry,What is an exothermic reaction?,An exothermic reaction releases heat energy to the surroundings.,Basic,Class 10,NCERT,Exothermic
Chemistry,What is an endothermic reaction?,An endothermic reaction absorbs heat energy from the surroundings.,Basic,Class 10,NCERT,Endothermic
Chemistry,What is the law of conservation of mass?,In a chemical reaction the total mass of reactants equals the total mass of products.,Basic,Class 9,NCERT,Conservation of mass
Chemistry,What is Avogadro's number?,Avogadro's number is 6.022 x 10^23 the number of atoms or molecules in one mole of a substance.,Intermediate,Class 11,NCERT,Avogadro
Chemistry,What is a mole?,A mole is the amount of substance containing 6.022 x 10^23 particles.,Intermediate,Class 11,NCERT,Mole
Chemistry,What is molar mass?,Molar mass is the mass of one mole of a substance expressed in grams per mole.,Intermediate,Class 11,NCERT,Molar mass
Chemistry,What is an atom?,An atom is the smallest unit of an element that retains the chemical properties of that element.,Basic,Class 9,NCERT,Atom
Chemistry,What is a molecule?,A molecule is the smallest unit of a compound that retains the chemical properties of that compound.,Basic,Class 9,NCERT,Molecule
Chemistry,What is an element?,An element is a pure substance made of only one type of atom that cannot be broken down further.,Basic,Class 9,NCERT,Element
Chemistry,What is a compound?,A compound is a substance formed by the chemical combination of two or more elements in a fixed ratio.,Basic,Class 9,NCERT,Compound
Chemistry,What is a mixture?,A mixture is a combination of two or more substances that are not chemically combined.,Basic,Class 9,NCERT,Mixture
Chemistry,What is an alloy?,An alloy is a mixture of two or more metals or a metal and a nonmetal.,Basic,Class 10,NCERT,Alloy
Chemistry,What is brass made of?,Brass is an alloy of copper and zinc.,Basic,Class 10,NCERT,Brass
Chemistry,What is bronze made of?,Bronze is an alloy of copper and tin.,Basic,Class 10,NCERT,Bronze
Chemistry,What is steel made of?,Steel is an alloy of iron and carbon.,Basic,Class 10,NCERT,Steel
Chemistry,What is stainless steel?,Stainless steel is an alloy of iron carbon and chromium that resists corrosion.,Basic,Class 10,NCERT,Stainless steel
Chemistry,What is electrolysis?,Electrolysis is the process of using electric current to drive a non-spontaneous chemical reaction.,Intermediate,Class 10,NCERT,Electrolysis
Chemistry,What is an electrolyte?,An electrolyte is a substance that conducts electricity when dissolved in water or melted.,Intermediate,Class 10,NCERT,Electrolyte
Chemistry,What is distillation?,Distillation is a method of separating mixtures based on differences in boiling points.,Basic,Class 9,NCERT,Distillation
Chemistry,What is crystallization?,Crystallization is a method of obtaining pure solid from a solution by cooling it.,Basic,Class 9,NCERT,Crystallization
Chemistry,What is chromatography?,Chromatography is a technique used to separate components of a mixture based on their different rates of movement.,Intermediate,Class 9,NCERT,Chromatography
Chemistry,What is a physical change?,A physical change alters the form of a substance without changing its chemical composition.,Basic,Class 8,NCERT,Physical change
Chemistry,What is a chemical change?,A chemical change produces new substances with different properties from the original.,Basic,Class 8,NCERT,Chemical change
Chemistry,What is sublimation?,Sublimation is the direct conversion of a solid to a gas without passing through the liquid state.,Intermediate,Class 9,NCERT,Sublimation
Chemistry,What is evaporation?,Evaporation is the conversion of a liquid into vapour at its surface below its boiling point.,Basic,Class 8,NCERT,Evaporation
Chemistry,What is condensation?,Condensation is the conversion of vapour or gas into liquid.,Basic,Class 8,NCERT,Condensation
Chemistry,What is a solution?,A solution is a homogeneous mixture of two or more substances.,Basic,Class 9,NCERT,Solution
Chemistry,What is solute?,A solute is the substance that is dissolved in a solution.,Basic,Class 9,NCERT,Solute
Chemistry,What is solvent?,A solvent is the substance in which the solute is dissolved.,Basic,Class 9,NCERT,Solvent
Chemistry,What is solubility?,Solubility is the maximum amount of solute that can dissolve in a given amount of solvent at a given temperature.,Intermediate,Class 9,NCERT,Solubility
Chemistry,What is a saturated solution?,A saturated solution contains the maximum amount of dissolved solute at a given temperature.,Intermediate,Class 9,NCERT,Saturated solution
Chemistry,What is colloid?,A colloid is a mixture in which fine particles are dispersed in a medium but do not settle.,Intermediate,Class 9,NCERT,Colloid
Chemistry,What is the Tyndall effect?,The scattering of light by colloidal particles making the beam of light visible.,Intermediate,Class 9,NCERT,Tyndall effect
Chemistry,What is organic chemistry?,Organic chemistry is the study of carbon compounds especially hydrocarbons and their derivatives.,Intermediate,Class 10,NCERT,Organic chemistry
Chemistry,What is a hydrocarbon?,A hydrocarbon is a compound containing only carbon and hydrogen atoms.,Intermediate,Class 10,NCERT,Hydrocarbon
Chemistry,What is methane?,Methane (CH4) is the simplest hydrocarbon and the main component of natural gas.,Basic,Class 10,NCERT,Methane
Chemistry,What is ethanol?,Ethanol (C2H5OH) is an alcohol used in beverages antiseptics and as fuel.,Intermediate,Class 10,NCERT,Ethanol
Chemistry,What is the formula of glucose?,The chemical formula of glucose is C6H12O6.,Basic,Class 10,NCERT,Glucose
Chemistry,What is soap?,Soap is a salt of a fatty acid made by the reaction of fats or oils with a strong base (saponification).,Basic,Class 10,NCERT,Soap
Chemistry,What is detergent?,Detergent is a synthetic cleaning agent that works better than soap in hard water.,Basic,Class 10,NCERT,Detergent
Chemistry,What is hard water?,Hard water contains dissolved calcium and magnesium salts that prevent soap from lathering.,Intermediate,Class 10,NCERT,Hard water
Chemistry,What is heavy water?,Heavy water is water in which hydrogen is replaced by deuterium (D2O).,Advanced,Class 12,NCERT,Heavy water
Chemistry,What is nuclear chemistry?,Nuclear chemistry deals with the study of radioactivity nuclear reactions and their applications.,Advanced,Class 12,NCERT,Nuclear chemistry
Chemistry,What is polymer?,A polymer is a large molecule made of many repeating smaller units called monomers.,Intermediate,Class 12,NCERT,Polymer
Chemistry,What is plastic?,Plastic is a synthetic polymer that can be moulded into shape and retains that shape.,Basic,Class 10,NCERT,Plastic
Chemistry,What is nylon?,Nylon is a synthetic polymer used to make fibres ropes and fabrics.,Basic,Class 10,NCERT,Nylon
Chemistry,What is bakelite?,Bakelite is a thermosetting plastic used in electrical fittings and radio cabinets.,Intermediate,Class 10,NCERT,Bakelite
Chemistry,What is the Haber process?,The Haber process is the industrial method of making ammonia from nitrogen and hydrogen gases.,Intermediate,Class 11,NCERT,Haber process
Chemistry,What is the contact process?,The contact process is the industrial method of making sulphuric acid.,Intermediate,Class 11,NCERT,Contact process
Chemistry,What is the Solvay process?,The Solvay process is the industrial method of making sodium carbonate (washing soda).,Advanced,Class 11,NCERT,Solvay process
Chemistry,What is baking soda?,Baking soda is sodium bicarbonate (NaHCO3) used in cooking and as an antacid.,Basic,Class 10,NCERT,Baking soda
Chemistry,What is washing soda?,Washing soda is sodium carbonate (Na2CO3) used as a cleaning agent.,Basic,Class 10,NCERT,Washing soda
Chemistry,What is bleaching powder?,Bleaching powder is calcium hypochlorite Ca(OCl)Cl used for disinfection and bleaching.,Intermediate,Class 10,NCERT,Bleaching powder
Chemistry,What is plaster of Paris?,Plaster of Paris is calcium sulphate hemihydrate (CaSO4.1/2H2O) used in making casts.,Intermediate,Class 10,NCERT,Plaster of Paris
Chemistry,What is the formula of plaster of Paris?,The formula of Plaster of Paris is CaSO4.1/2 H2O.,Intermediate,Class 10,NCERT,PoP formula
Chemistry,What is marble?,Marble is calcium carbonate (CaCO3) a metamorphic rock used in construction and sculpture.,Basic,Class 10,NCERT,Marble
Chemistry,What is limestone?,Limestone is calcium carbonate (CaCO3) used in making cement and glass.,Basic,Class 10,NCERT,Limestone
Chemistry,What is cement made of?,Cement is made by heating limestone and clay then grinding with gypsum.,Intermediate,Class 10,General,Cement
Chemistry,What is glass made of?,Glass is made by melting silica (sand) with sodium carbonate and calcium carbonate.,Basic,Class 10,General,Glass
Chemistry,What is dry ice?,Dry ice is solid carbon dioxide (CO2) used as a refrigerant.,Intermediate,Class 11,General,Dry ice
Chemistry,What is laughing gas?,Laughing gas is nitrous oxide (N2O) used as an anaesthetic.,Intermediate,Class 11,General,Laughing gas
Chemistry,What is the formula of laughing gas?,The formula of laughing gas (nitrous oxide) is N2O.,Intermediate,Class 11,NCERT,N2O
Chemistry,What is tear gas?,Tear gas is chloroacetophenone (CN) or CS gas used for riot control.,Advanced,Class 12,General,Tear gas
Chemistry,What is LPG?,LPG (Liquefied Petroleum Gas) is mainly a mixture of propane and butane used as fuel.,Basic,Class 10,General,LPG
Chemistry,What is CNG?,CNG (Compressed Natural Gas) is mainly methane used as a cleaner fuel for vehicles.,Basic,Class 10,General,CNG
Chemistry,What is the main component of biogas?,The main component of biogas is methane (CH4) produced by decomposition of organic waste.,Basic,Class 10,NCERT,Biogas
Chemistry,What is photosynthesis equation?,6CO2 + 6H2O + light energy → C6H12O6 + 6O2,Intermediate,Class 10,NCERT,Photosynthesis equation
Biology,What is the basic unit of life?,The cell is the basic structural and functional unit of life.,Basic,Class 8,NCERT,Cell
Biology,Who discovered the cell?,Robert Hooke discovered the cell in 1665 while observing cork under a microscope.,Basic,Class 8,NCERT,Robert Hooke
Biology,What is the cell theory?,Cell theory states that all living things are made of cells cells are the basic unit of life and cells come from existing cells.,Basic,Class 8,NCERT,Cell theory
Biology,What is a prokaryotic cell?,A prokaryotic cell lacks a membrane-bound nucleus and organelles e.g. bacteria.,Intermediate,Class 9,NCERT,Prokaryote
Biology,What is a eukaryotic cell?,A eukaryotic cell has a membrane-bound nucleus and organelles e.g. plant and animal cells.,Intermediate,Class 9,NCERT,Eukaryote
Biology,What is the nucleus of a cell?,The nucleus is the control centre of the cell containing DNA and controlling cell activities.,Basic,Class 8,NCERT,Nucleus
Biology,What is the mitochondria?,Mitochondria are organelles that produce energy through cellular respiration; called the powerhouse of the cell.,Basic,Class 9,NCERT,Mitochondria
Biology,What is the chloroplast?,Chloroplast is the organelle in plant cells where photosynthesis takes place; contains chlorophyll.,Basic,Class 9,NCERT,Chloroplast
Biology,What is the cell membrane?,The cell membrane is a selectively permeable layer that controls what enters and exits the cell.,Basic,Class 8,NCERT,Cell membrane
Biology,What is the cell wall?,The cell wall is a rigid outer layer found in plant fungal and bacterial cells providing support.,Basic,Class 8,NCERT,Cell wall
Biology,What is the difference between plant and animal cell?,Plant cells have cell wall chloroplasts and large vacuole; animal cells have centrioles and small vacuoles.,Basic,Class 8,NCERT,Plant vs animal cell
Biology,What is DNA?,DNA (Deoxyribonucleic acid) is the molecule that carries genetic information in living organisms.,Basic,Class 10,NCERT,DNA
Biology,What is RNA?,RNA (Ribonucleic acid) is involved in protein synthesis and gene expression.,Intermediate,Class 12,NCERT,RNA
Biology,What is a gene?,A gene is a segment of DNA that codes for a specific protein or trait.,Intermediate,Class 12,NCERT,Gene
Biology,What is a chromosome?,A chromosome is a thread-like structure of DNA and protein that carries genetic information.,Intermediate,Class 10,NCERT,Chromosome
Biology,How many chromosomes do humans have?,Humans have 46 chromosomes (23 pairs) in each body cell.,Basic,Class 10,NCERT,Human chromosomes
Biology,What is mitosis?,Mitosis is a type of cell division that produces two genetically identical daughter cells.,Intermediate,Class 11,NCERT,Mitosis
Biology,What is meiosis?,Meiosis is a type of cell division that produces four genetically different haploid cells (gametes).,Intermediate,Class 11,NCERT,Meiosis
Biology,What is photosynthesis?,Photosynthesis is the process by which plants use sunlight CO2 and water to make glucose and oxygen.,Basic,Class 7,NCERT,Photosynthesis
