s_no,category,question,answer,difficulty,grade_level,source,keyword_tag
37,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,CDC Nepal,Commercial Mathematics
38,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 7,CDC Nepal,Mensuration
39,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 6,CDC Nepal,Fractions and Decimals
40,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,NCERT,Algebra
41,Mathematics,What is the area of a rectangle with length 11 cm and width 5 cm?,55 cm²,Basic,Class 6,NCERT,Mensuration
42,Mathematics,What is the area of a rectangle with length 13 cm and width 6 cm?,78 cm²,Basic,Class 6,CDC Nepal,Mensuration
43,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,NCERT,Coordinate Geometry
44,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 9,CBSE,Trigonometry
45,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,CBSE,Circles
46,Mathematics,Solve for x: 2x + 7 = 45,x = 19,Medium,Class 12,Nepal Curriculum,Linear Equations
47,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Medium,Class 7,CBSE,Statistics
48,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 6,NCERT,Fractions and Decimals
49,Mathematics,What is the HCF of 12 and 18?,6,Medium,Class 10,CBSE,HCF and LCM
50,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Advanced,Class 7,Nepal Curriculum,Geometry
51,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CBSE,Trigonometry
52,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 6,CDC Nepal,Polygons
53,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,CDC Nepal,Linear Equations
54,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,CBSE,Polygons
55,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 8,CDC Nepal,Triangles
56,Mathematics,What is the area of a rectangle with length 8 cm and width 12 cm?,96 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
57,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Medium,Class 6,CBSE,Linear Equations
58,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Advanced,Class 10,CBSE,Probability
59,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 12,Nepal Curriculum,Probability
60,Mathematics,What is 52 multiplied by 62?,3224,Basic,Class 12,Nepal Curriculum,Multiplication
61,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Medium,Class 7,NCERT,Geometry
62,Mathematics,Solve for x: 3x + 5 = 29,x = 8,Basic,Class 7,Nepal Curriculum,Linear Equations
63,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,CBSE,Mensuration
64,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 7,CBSE,Mensuration
65,Mathematics,What is the area of a rectangle with length 7 cm and width 3 cm?,21 cm²,Medium,Class 6,NCERT,Mensuration
66,Mathematics,Solve for x: 2x + 17 = 51,x = 17,Basic,Class 8,Nepal Curriculum,Linear Equations
67,Mathematics,Solve: 3y - 7 = 14,y = 7,Basic,Class 7,Nepal Curriculum,Linear Equations
68,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 6,CBSE,Mensuration
69,Mathematics,What is the area of a rectangle with length 13 cm and width 9 cm?,117 cm²,Advanced,Class 6,CBSE,Mensuration
70,Mathematics,What is 95 multiplied by 58?,5510,Advanced,Class 8,Nepal Curriculum,Multiplication
71,Mathematics,Solve for x: 5x + 30 = 65,x = 7,Basic,Class 8,CBSE,Linear Equations
72,Mathematics,What is the area of a rectangle with length 15 cm and width 15 cm?,225 cm²,Advanced,Class 9,Nepal Curriculum,Mensuration
73,Mathematics,What is 40 minus 96?,-56,Advanced,Class 8,Nepal Curriculum,Subtraction
74,Mathematics,What is the sum of 70 and 88?,158,Basic,Class 7,CDC Nepal,Addition
75,Mathematics,What is the area of a rectangle with length 9 cm and width 10 cm?,90 cm²,Advanced,Class 11,CDC Nepal,Mensuration
76,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,NCERT,Polygons
77,Mathematics,What is 41 minus 25?,16,Basic,Class 7,Nepal Curriculum,Subtraction
78,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 11,CDC Nepal,Triangles
79,Mathematics,What is the area of a rectangle with length 10 cm and width 10 cm?,100 cm²,Medium,Class 10,CBSE,Mensuration
80,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Advanced,Class 12,CDC Nepal,Mensuration
81,Mathematics,What is the area of a rectangle with length 6 cm and width 7 cm?,42 cm²,Medium,Class 8,CBSE,Mensuration
82,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Basic,Class 6,Nepal Curriculum,Fractions and Decimals
83,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,NCERT,HCF and LCM
84,Mathematics,Solve for x: 5x + 17 = 52,x = 7,Basic,Class 8,NCERT,Linear Equations
85,Mathematics,Solve for x: 4x + 29 = 77,x = 12,Medium,Class 12,CDC Nepal,Linear Equations
86,Mathematics,Solve for x: 5x + 20 = 65,x = 9,Medium,Class 12,NCERT,Linear Equations
87,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,CDC Nepal,Circles
88,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 10,NCERT,Coordinate Geometry
89,Mathematics,Solve: 3y - 7 = 14,y = 7,Basic,Class 7,CDC Nepal,Linear Equations
90,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,Nepal Curriculum,Mensuration
91,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 8,CBSE,Linear Equations
92,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Basic,Class 9,Nepal Curriculum,Statistics
93,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Advanced,Class 12,Nepal Curriculum,Probability
94,Mathematics,What is 95 multiplied by 24?,2280,Basic,Class 10,Nepal Curriculum,Multiplication
95,Mathematics,What is the area of a rectangle with length 14 cm and width 14 cm?,196 cm²,Medium,Class 8,NCERT,Mensuration
96,Mathematics,What is the area of a rectangle with length 7 cm and width 12 cm?,84 cm²,Medium,Class 7,CDC Nepal,Mensuration
97,Mathematics,What is the value of sin 30°?,01-Feb,Basic,Class 10,Nepal Curriculum,Trigonometry
98,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 8,NCERT,Algebra
99,Mathematics,What is the area of a rectangle with length 13 cm and width 8 cm?,104 cm²,Basic,Class 10,NCERT,Mensuration
100,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Basic,Class 8,CDC Nepal,Geometry
101,Mathematics,Solve for x: 4x + 24 = 92,x = 17,Medium,Class 11,CDC Nepal,Linear Equations
102,Mathematics,Solve for x: 2x + 13 = 29,x = 8,Medium,Class 12,CDC Nepal,Linear Equations
103,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 8,CDC Nepal,Triangles
104,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,CDC Nepal,Commercial Mathematics
105,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,CBSE,Mensuration
106,Mathematics,What is 62 multiplied by 72?,4464,Basic,Class 10,Nepal Curriculum,Multiplication
107,Mathematics,Solve for x: 2x + 14 = 16,x = 1,Medium,Class 11,Nepal Curriculum,Linear Equations
108,Mathematics,Solve for x: 4x + 18 = 86,x = 17,Basic,Class 7,CBSE,Linear Equations
109,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,CBSE,Triangles
110,Mathematics,What is the value of sin 30°?,01-Feb,Medium,Class 10,Nepal Curriculum,Trigonometry
111,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,CBSE,Commercial Mathematics
112,Mathematics,What is the sum of 32 and 48?,80,Basic,Class 12,Nepal Curriculum,Addition
113,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Advanced,Class 7,Nepal Curriculum,Linear Equations
114,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 12,CBSE,Coordinate Geometry
115,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 9,CDC Nepal,Mensuration
116,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,NCERT,Mensuration
117,Mathematics,What is the sum of 82 and 48?,130,Basic,Class 11,Nepal Curriculum,Addition
118,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,Nepal Curriculum,Linear Equations
119,Mathematics,Solve for x: 5x + 14 = 109,x = 19,Medium,Class 9,NCERT,Linear Equations
120,Mathematics,What is the area of a rectangle with length 7 cm and width 13 cm?,91 cm²,Basic,Class 11,NCERT,Mensuration
121,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Advanced,Class 10,Nepal Curriculum,Quadratic Equations
122,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 8,CDC Nepal,Triangles
123,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,CBSE,Probability
124,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 9,Nepal Curriculum,Polygons
125,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 10,NCERT,HCF and LCM
126,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 8,CBSE,Algebra
127,Mathematics,What is the area of a rectangle with length 7 cm and width 11 cm?,77 cm²,Advanced,Class 9,CDC Nepal,Mensuration
128,Mathematics,What is the area of a rectangle with length 12 cm and width 7 cm?,84 cm²,Basic,Class 10,NCERT,Mensuration
129,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,CBSE,Coordinate Geometry
130,Mathematics,What is the area of a rectangle with length 10 cm and width 7 cm?,70 cm²,Basic,Class 12,Nepal Curriculum,Mensuration
131,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 9,CBSE,Commercial Mathematics
132,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Advanced,Class 8,CDC Nepal,Circles
133,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 8,NCERT,Fractions and Decimals
134,Mathematics,What is the sum of 61 and 75?,136,Medium,Class 8,CDC Nepal,Addition
135,Mathematics,What is the area of a rectangle with length 10 cm and width 13 cm?,130 cm²,Advanced,Class 7,CDC Nepal,Mensuration
136,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 7,CDC Nepal,Triangles
137,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,Nepal Curriculum,Polygons
138,Mathematics,What is the area of a rectangle with length 4 cm and width 6 cm?,24 cm²,Advanced,Class 8,NCERT,Mensuration
139,Mathematics,Solve for x: 4x + 18 = 58,x = 10,Basic,Class 6,CDC Nepal,Linear Equations
140,Mathematics,Solve for x: 3x + 7 = 67,x = 20,Basic,Class 7,CBSE,Linear Equations
141,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 12,CBSE,Mensuration
142,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 8,CDC Nepal,Coordinate Geometry
143,Mathematics,Solve for x: 5x + 19 = 109,x = 18,Medium,Class 9,CBSE,Linear Equations
144,Mathematics,What is 62 minus 15?,47,Basic,Class 11,CDC Nepal,Subtraction
145,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 12,Nepal Curriculum,Polygons
146,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 6,NCERT,Triangles
147,Mathematics,Solve for x: 2x + 20 = 30,x = 5,Medium,Class 9,CBSE,Linear Equations
148,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,CBSE,Circles
149,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 12,CDC Nepal,Polygons
150,Mathematics,What is the sum of 97 and 46?,143,Advanced,Class 6,NCERT,Addition
151,Mathematics,Solve for x: 2x + 6 = 26,x = 10,Basic,Class 6,CBSE,Linear Equations
152,Mathematics,Solve for x: 5x + 23 = 63,x = 8,Basic,Class 8,Nepal Curriculum,Linear Equations
153,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 6,CDC Nepal,Mensuration
154,Mathematics,What is 91 minus 42?,49,Medium,Class 7,CBSE,Subtraction
155,Mathematics,What is the area of a rectangle with length 5 cm and width 4 cm?,20 cm²,Medium,Class 12,CDC Nepal,Mensuration
156,Mathematics,What is the area of a rectangle with length 10 cm and width 7 cm?,70 cm²,Medium,Class 10,Nepal Curriculum,Mensuration
157,Mathematics,What is 83 multiplied by 55?,4565,Medium,Class 12,CBSE,Multiplication
158,Mathematics,Solve for x: 2x + 24 = 62,x = 19,Basic,Class 8,CDC Nepal,Linear Equations
159,Mathematics,What is 34 minus 89?,-55,Basic,Class 8,Nepal Curriculum,Subtraction
160,Mathematics,Solve for x: 2x + 23 = 53,x = 15,Medium,Class 11,CBSE,Linear Equations
161,Mathematics,What is the area of a rectangle with length 5 cm and width 6 cm?,30 cm²,Medium,Class 6,Nepal Curriculum,Mensuration
162,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,CDC Nepal,Mensuration
163,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 8,NCERT,Triangles
164,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Advanced,Class 10,CDC Nepal,Probability
165,Mathematics,What is 60 minus 11?,49,Advanced,Class 12,NCERT,Subtraction
166,Mathematics,What is the area of a rectangle with length 13 cm and width 8 cm?,104 cm²,Advanced,Class 11,NCERT,Mensuration
167,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 9,NCERT,Probability
168,Mathematics,What is the area of a rectangle with length 4 cm and width 5 cm?,20 cm²,Advanced,Class 9,NCERT,Mensuration
169,Mathematics,What is 78 minus 27?,51,Medium,Class 8,CDC Nepal,Subtraction
170,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Medium,Class 6,Nepal Curriculum,Fractions and Decimals
171,Mathematics,What is the area of a rectangle with length 7 cm and width 3 cm?,21 cm²,Basic,Class 11,CBSE,Mensuration
172,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 8,CBSE,Triangles
173,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Advanced,Class 9,CBSE,Statistics
174,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,CDC Nepal,Mensuration
175,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,NCERT,Trigonometry
176,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 7,Nepal Curriculum,Circles
177,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Basic,Class 6,Nepal Curriculum,Fractions and Decimals
178,Mathematics,Find the value of tan 45°.,1,Medium,Class 7,NCERT,Trigonometry
179,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 6,CBSE,HCF and LCM
180,Mathematics,What is 55 multiplied by 40?,2200,Advanced,Class 6,CBSE,Multiplication
181,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,CDC Nepal,Mensuration
182,Mathematics,Solve for x: 2x + 19 = 43,x = 12,Medium,Class 11,Nepal Curriculum,Linear Equations
183,Mathematics,Solve for x: 2x + 20 = 22,x = 1,Basic,Class 6,CDC Nepal,Linear Equations
184,Mathematics,What is 20 multiplied by 51?,1020,Medium,Class 6,Nepal Curriculum,Multiplication
185,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,CBSE,Mensuration
186,Mathematics,Find the value of tan 45°.,1,Advanced,Class 10,CDC Nepal,Trigonometry
187,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 9,Nepal Curriculum,Polygons
188,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 7,CDC Nepal,Circles
189,Mathematics,What is the area of a rectangle with length 8 cm and width 5 cm?,40 cm²,Medium,Class 8,CDC Nepal,Mensuration
190,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,NCERT,Mensuration
191,Mathematics,What is the area of a rectangle with length 11 cm and width 11 cm?,121 cm²,Basic,Class 8,CBSE,Mensuration
192,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Medium,Class 9,CBSE,Linear Equations
193,Mathematics,What is the sum of 71 and 38?,109,Basic,Class 8,CBSE,Addition
194,Mathematics,What is the area of a rectangle with length 15 cm and width 9 cm?,135 cm²,Basic,Class 8,NCERT,Mensuration
195,Mathematics,What is 44 minus 99?,-55,Advanced,Class 11,CBSE,Subtraction
196,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CDC Nepal,Quadratic Equations
197,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,Nepal Curriculum,Polygons
198,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,CBSE,Triangles
199,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Advanced,Class 7,NCERT,Circles
200,Mathematics,What is the area of a rectangle with length 7 cm and width 10 cm?,70 cm²,Basic,Class 7,CDC Nepal,Mensuration
201,Mathematics,What is 75 minus 24?,51,Medium,Class 9,CDC Nepal,Subtraction
202,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,CBSE,Coordinate Geometry
203,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,NCERT,Circles
204,Mathematics,What is the value of sin 30°?,01-Feb,Basic,Class 10,CBSE,Trigonometry
205,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Basic,Class 7,CDC Nepal,Geometry
206,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,Nepal Curriculum,Circles
207,Mathematics,What is the sum of 15 and 65?,80,Advanced,Class 12,CDC Nepal,Addition
208,Mathematics,What is the area of a rectangle with length 14 cm and width 13 cm?,182 cm²,Medium,Class 12,CDC Nepal,Mensuration
209,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,Nepal Curriculum,Circles
210,Mathematics,What is 23 minus 41?,-18,Medium,Class 10,CDC Nepal,Subtraction
211,Mathematics,What is 31 multiplied by 19?,589,Medium,Class 9,NCERT,Multiplication
212,Mathematics,What is the area of a rectangle with length 13 cm and width 5 cm?,65 cm²,Medium,Class 7,Nepal Curriculum,Mensuration
213,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,Nepal Curriculum,Mensuration
214,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 11,CDC Nepal,Polygons
215,Mathematics,What is the area of a rectangle with length 12 cm and width 13 cm?,156 cm²,Advanced,Class 10,CBSE,Mensuration
216,Mathematics,Solve for x: 5x + 25 = 105,x = 16,Medium,Class 11,CBSE,Linear Equations
217,Mathematics,What is the area of a rectangle with length 7 cm and width 10 cm?,70 cm²,Basic,Class 10,CDC Nepal,Mensuration
218,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Medium,Class 9,NCERT,Statistics
219,Mathematics,What is the area of a rectangle with length 15 cm and width 14 cm?,210 cm²,Medium,Class 10,NCERT,Mensuration
220,Mathematics,Solve for x: 3x + 6 = 54,x = 16,Medium,Class 12,CDC Nepal,Linear Equations
221,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Advanced,Class 7,Nepal Curriculum,Circles
222,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,Nepal Curriculum,Triangles
223,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,CBSE,Algebra
224,Mathematics,What is 22 multiplied by 81?,1782,Advanced,Class 6,CDC Nepal,Multiplication
225,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,NCERT,Trigonometry
226,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 7,Nepal Curriculum,Circles
227,Mathematics,What is the area of a rectangle with length 8 cm and width 5 cm?,40 cm²,Medium,Class 6,NCERT,Mensuration
228,Mathematics,What is the sum of 49 and 33?,82,Advanced,Class 9,CBSE,Addition
229,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 9,NCERT,HCF and LCM
230,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Advanced,Class 7,NCERT,Geometry
231,Mathematics,What is the area of a rectangle with length 5 cm and width 5 cm?,25 cm²,Advanced,Class 12,Nepal Curriculum,Mensuration
232,Mathematics,What is the area of a rectangle with length 3 cm and width 9 cm?,27 cm²,Advanced,Class 12,CBSE,Mensuration
233,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 7,Nepal Curriculum,Triangles
234,Mathematics,Solve for x: 5x + 19 = 114,x = 19,Basic,Class 8,CBSE,Linear Equations
235,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,Nepal Curriculum,Trigonometry
236,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 6,NCERT,Fractions and Decimals
237,Mathematics,What is 30 minus 44?,-14,Basic,Class 10,Nepal Curriculum,Subtraction
238,Mathematics,What is the smallest prime number?,2,Basic,Class 6,CDC Nepal,Prime Numbers
239,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 7,CDC Nepal,Mensuration
240,Mathematics,Solve for x: 4x + 30 = 46,x = 4,Basic,Class 8,Nepal Curriculum,Linear Equations
241,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,Nepal Curriculum,Algebra
242,Mathematics,What is the smallest prime number?,2,Medium,Class 9,CBSE,Prime Numbers
243,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,CDC Nepal,HCF and LCM
244,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,NCERT,Algebra
245,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,CDC Nepal,Linear Equations
246,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 8,NCERT,Commercial Mathematics
247,Mathematics,Solve for x: 4x + 12 = 16,x = 1,Medium,Class 10,CDC Nepal,Linear Equations
248,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 6,NCERT,Mensuration
249,Mathematics,Solve for x: 2x + 25 = 57,x = 16,Medium,Class 10,CDC Nepal,Linear Equations
250,Mathematics,Solve for x: 4x + 12 = 24,x = 3,Basic,Class 8,NCERT,Linear Equations
251,Mathematics,What is 79 multiplied by 53?,4187,Medium,Class 11,Nepal Curriculum,Multiplication
252,Mathematics,What is the area of a rectangle with length 15 cm and width 5 cm?,75 cm²,Medium,Class 11,NCERT,Mensuration
253,Mathematics,What is 35 minus 15?,20,Basic,Class 9,CBSE,Subtraction
254,Mathematics,Solve for x: 4x + 16 = 44,x = 7,Medium,Class 12,NCERT,Linear Equations
255,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 8,CDC Nepal,Linear Equations
256,Mathematics,Solve for x: 4x + 30 = 94,x = 16,Medium,Class 9,CBSE,Linear Equations
257,Mathematics,Solve for x: 4x + 15 = 39,x = 6,Medium,Class 11,NCERT,Linear Equations
258,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,CDC Nepal,Algebra
